Name;SamAccountName;GivenName;Surname;DisplayName;UPN;AccountPassword;HomeDrive;HomeDirectory;ScriptPath;Path
Rozemieke;Rozemieke;Rozemieke;;Rozemieke;Rozemieke@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Secretariaat,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Annemieke;Annemieke;Annemieke;;Annemieke;Annemieke@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Secretariaat,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
ProfessorGobelijn;ProfessorGobelijn;Professor;Gobelijn;Professor Gobelijn;ProfessorGobelijn@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Directie,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
ProfessorZonnebloem;ProfessorZonnebloem;Professor;Zonnebloem;Professor Zonnebloem;ProfessorZonnebloem@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Leerkrachten,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
GroteSmurf;GroteSmurf;Grote;Smurf;Grote Smurf;GroteSmurf@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Leerkrachten,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Jommeke;Jommeke;Jommeke;;Jommeke;Jommeke@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Leerkrachten,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Filiberke;Filiberke;Filiberke;;Filiberke;Filiberke@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=Leerkrachten,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Suske;Suske;Suske;;Suske;Suske@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=1ste leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Wiske;Wiske;Wiske;;Wiske;Wiske@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=1ste leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Asterix;Asterix;Asterix;;Asterix;Asterix@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=2de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Obelix;Obelix;Obelix;;Obelix;Obelix@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=2de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Ideefix;Ideefix;Ideefix;;Ideefix;Ideefix@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=2de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
PietPienter;PietPienter;Piet Pienter;;Piet Pienter;PietPienter@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=3de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
BertBibber;BertBibber;Bert Bibber;;Bert Bibber;BertBibber@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=3de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Garfied;Garfied;Garfied;;Garfied;Garfied@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=4de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Jon;Jon;Jon;;Jon;Jon@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=4de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Nero;Nero;Nero;;Nero;Nero@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=5de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Petoetje;Petoetje;Petoetje;;Petoetje;Petoetje@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=5de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
Kuifje;Kuifje;Kuifje;;Kuifje;Kuifje@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=6de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
KapiteinHaddock;KapiteinHaddock;Haddock;Haddock;Kapitein Haddock;KapiteinHaddock@mijnschool.be;P@ssw0rd;H:;\\ms\homedirs\%username%;login.bat;OU=6de leerjaar,OU=Leerlingen,OU=Mijn school,DC=intranet,DC=mijnschool,DC=be
